name,smiles,Tox-score,SAscore
TCM000866,C=C(C1CCCCC1)[C@H]1CC[C@@](C)(O)[C@H]2CC[C@@](O)(CCN/C(=N\CCCO)NC)[C@H]2C1,0.48187266478871543,0.024472016150928935
TCM000881,C=C(C)[C@]12CC#C[C@@H](NC(=N)NC)C[C@]3(O)CC[C@@H]([C@@H]3C1)[C@](C)(O)CC2,0.49068890681321004,0.0026925285312065805
TCM000883,C=C(C1CCCCC1)[C@H]1CC[C@](O)(C2CCCCC2)[C@H]2CC[C@@](O)(CCNC(=N)NC)[C@H]2C1,0.47086600864997213,0.0228697510135347
TCM000894,C=C(CCCc1ccccc1)[C@H]1CC[C@@](C)(O)[C@H]2CC[C@@](O)(CCNC(=N)NC)[C@H]2C1,0.32371599715165467,0.02943669872200772
TCM000899,C=C(C)[C@@H]1C[C@H]2[C@H](CC[C@@]2(O)CCNC(=N)NC)[C@@]2(O)CC=C[C@@H]1C2,0.40243160703129405,0.007139393499474186
TCM000910,C=C(CCNC)[C@H]1CC[C@@](C)(O)[C@H]2CC[C@](C)(O)[C@H]2C1,0.511555423755458,0.03074894550081874
TCM000914,C=C(CCCc1ccccc1)[C@H]1CC[C@@](C)(O)[C@H]2CC[C@](C)(O)[C@H]2C1,0.4502602699210875,0.05100978496297243
TCM000948,C=C(C)[C@@H]1CC[C@@]2(C)CC([C@@]34C=C[C@@]56[C@@H](C[C@@H]7C[C@@H](O)[C@@H](O)C[C@H]75)C[C@@H](CC3)[C@@]6(C)N4)=CC(C)=C2C1,0.4625708407270898,0.0021895363478938814
TCM000962,C=C(C)[C@@H]1CC[C@@]2(C)CC([C@@]34CC[C@H]5C[C@@H]6CC[C@H]7[C@H](CO)C=C[C@H](C3)[C@@]67[C@@]5(C)N4)=CC(C)=C2C1,0.46994338292910803,0.002606011630873708
TCM000968,C=C(C)[C@@H]1CC[C@@]23CC=C[C@@H]4[C@H]([C@]5(O)CCC[C@@H]5CCc5ccccc5)CC[C@@]42C=CC(C)=C3C1,0.43068196400038555,0.008423323605462569
TCM000997,C=C(C)[C@@H]1CC[C@@]23CC=C[C@@H]4[C@@H](CO)CC[C@]42C=CC(C)=C3C1,0.544372774503238,0.008117960083018197
TCM001011,C=C(C)[C@@H]1CC[C@@]2(C)CC(CNC3CCCC3)=CC(C)=C2C1,0.4558877009706086,0.047100582610495365
TCM001015,C=C(C)[C@@H]1CC[C@@]2(C)CC(CNCCc3ccccc3)=CC(C)=C2C1,0.35838270958289425,0.06333613240013738
TCM001310,C[C@H](C[C@@H](O)[C@H]1OC1(C)C)C1=C2CC[C@@H]3[C@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1=O,0.4257586345770905,0.01716798129852779
TCM001313,CC1(C)Oc2cc3oc(CO)cc(=O)c3c(O)c2C[C@H]1OOC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.46544527239211386,0.023548153745598082
TCM001320,CC[C@H](O)CCC/C=C/OC(C)=O,0.6460857279917922,0.10349048858997835
TCM001360,C=C1/C=C/C=C(\[C@H]2CC[C@@]3([C@H](CCCO)/C(=C(\C)C=O)CC[C@@]3(C)O)[C@@H]2O)COCC#CC/C(C)=C/C[C@@H]1NCC,0.3707396306457002,0.0030335021255958007
TCM001373,C=C1/C=C2\C=C[C@@]3(CC[C@@]4([C@H](CCCO)/C(=C(\C)C=O)CC[C@@]4(C)O)[C@@H]3O)C(=C2)COCC#CC/C(C)=C/CC1,0.45056921697073216,0.0010451431212835439
TCM001390,C=C(/C=C/C=C(/CO)[C@H]1CC[C@@]2([C@H](CCCO)/C(=C(\C)C(=O)Cc3ccc(O)cc3)CC[C@@]2(C)O)[C@@H]1O)CCC=C(C)C,0.3989280505712746,0.009777877206642705
TCM001392,C=C(/C=C/C=C(/CO)[C@H]1CC[C@@]2([C@H](CCCO)/C(=C(\C)C=O)CC[C@@]2(C)O)[C@@H]1O)[C@H](CC=C(C)C)NCC,0.36270276411796587,0.00699823945828019
TCM001404,C=C(/C=C/C=C(/CO)[C@H]1C[C@@H]2CSSCC/C(C=O)=C3\CC[C@@](C)(O)[C@]2([C@@H]3CCCO)[C@@H]1O)CCC=C(C)C,0.4092824731203809,0.0020076704214396276
TCM001424,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(c3c([C@@H]4CNC(=O)C4)coc13)C[C@H]1C#CCCCOC(=O)[C@H]1C2,0.3674560032330883,0.006913704652345015
TCM001472,CCOC(=O)CCc1cc2c(C3CCCCC3)coc2c(OC2CCCCC2)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.3074842687779722,0.03719068867993068
TCM001486,CCOC(=O)[C@@H]1C=Cc2c(c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)c3occc23)C1,0.35248612622069125,0.028170400262330496
TCM001652,CCNCOc1cc(OCCNC)c2c3c1[C@@H](O)Nc1cc4c(c(c1-3)CC2)[C@@H](O)[C@H](c1cc(OC)c(O)c(OC)c1)CO4,0.2782448765298195,0.027285136406645167
TCM001689,CCNCOc1cc(OC)c2c3c1ccc1cc4c(c(c13)CC2)[C@@H](O)[C@H](c1cc(OC)c(O)c(OC)c1)CO4,0.33716306885701147,0.04905871329966445
TCM001691,CNC[C@H]1Nc2cc3c(c4c2-c2c(c(OC)cc(O)c21)CC4)[C@@H](O)[C@H](c1cc(OC)c(O)c(OC)c1)CO3,0.31354398287383933,0.03394392136855866
TCM001700,COc1cc([C@@H]2COc3cc(O)c4c(c3[C@H]2O)CCc2c(OC)cc(OCCCO)cc2-4)cc(OC)c1O,0.4021148304327111,0.06105013537929856
TCM001703,CCNCOc1cc(OC)c2c(c1)-c1ccc3c(c1CC2)[C@@H](O)[C@H](c1cc(OC)c(O)c(OC2CCCC2)c1)CO3,0.2785196894835519,0.052054378161189456
TCM001921,CNC(=N)NCOc1cc(C(=O)O)ccc1O[C@@H]1O[C@H](COC(=O)c2cc(OC)c(O)c(OC)c2)[C@@H](O)[C@H](O)[C@H]1O,0.3403815644845785,0.03939418807443618
TCM002043,CCNc1cc(O[C@@H]2O[C@H](COC(=O)c3cc(OC)c(O)c(OC)c3)[C@@H](O)[C@H](O)[C@H]2O)c(OC)cc1C(=O)O,0.318114339193974,0.05621443091134905
TCM002061,CNCO[C@@H]1Cc2c(cc(OCCO)c3c2[C@@H](CCn2ccnc2)Cc2cc(O)ccc2-3)O[C@@H]1c1ccc(O)c(OC)c1,0.26253715805217376,0.033281718402966676
TCM002066,COc1cc([C@H]2Oc3cc(OCCO)c4c5c3[C@@H](C#CC[C@@H](n3ccnc3)C[C@H]5Cc3cc(O)ccc3-4)[C@H]2O)ccc1O,0.28646911037009803,0.01213789399013764
TCM002078,COc1cc([C@H]2Oc3cc(OC)c4c(c3C[C@H]2O)C[C@@H]2c3c-4ccc(O)c3C=C[C@H]2c2ccc3[nH]ccc3c2)ccc1O,0.37970752346758035,0.029441381213537544
TCM002080,COc1cc([C@H]2Oc3cc(OC(CO)CO)c4c(c3C[C@H]2O)CCc2cc(O)ccc2-4)ccc1O,0.40532416288732864,0.06160061944665529
TCM002087,COc1cc(C(=O)O)ccc1O[C@@H]1O[C@@]2(CCc3c(cc(OC)c(O)c3OC)C(=O)OC2)[C@@H](O)[C@H](O)[C@H]1O,0.4071870964026736,0.023919554745945693
TCM002381,COc1cc2c(cc1O)CSSC[C@@H]1c3c(ccc4c3O[C@H]2[C@H]4COC(C)=O)-c2c(OC)cc(O)cc2[C@H]1CCO,0.3214341742448016,0.008108524982851606
